,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
lr,Linear Regression,0.0115,0.0002,0.0133,0.9779,0.0029,0.0031,0.282
ridge,Ridge Regression,0.0164,0.0004,0.0193,0.9572,0.0042,0.0046,0.003
br,Bayesian Ridge,0.0144,0.0003,0.0172,0.9499,0.0038,0.004,0.004
lar,Least Angle Regression,0.0168,0.0005,0.0204,0.877,0.0044,0.0046,0.003
et,Extra Trees Regressor,0.0295,0.0019,0.0379,0.8743,0.0079,0.0078,0.014
rf,Random Forest Regressor,0.0319,0.0029,0.0414,0.8688,0.0087,0.0085,0.019
ada,AdaBoost Regressor,0.0296,0.0025,0.0394,0.8687,0.0082,0.0079,0.008
en,Elastic Net,0.0326,0.0016,0.0376,0.8622,0.0081,0.0089,0.003
gbr,Gradient Boosting Regressor,0.0315,0.0026,0.0396,0.8617,0.0083,0.0084,0.007
llar,Lasso Least Angle Regression,0.0348,0.0018,0.0399,0.8552,0.0086,0.0095,0.003
lasso,Lasso Regression,0.0348,0.0018,0.04,0.8551,0.0086,0.0095,0.003
dt,Decision Tree Regressor,0.0374,0.0039,0.0507,0.7459,0.0104,0.0099,0.003
omp,Orthogonal Matching Pursuit,0.0934,0.0141,0.1123,-0.129,0.0242,0.0255,0.003
knn,K Neighbors Regressor,0.093,0.0142,0.1106,-0.1718,0.0237,0.0252,0.005
lightgbm,Light Gradient Boosting Machine,0.1137,0.0223,0.1372,-0.447,0.0293,0.0309,0.005
dummy,Dummy Regressor,0.1137,0.0223,0.1372,-0.447,0.0293,0.0309,0.003
huber,Huber Regressor,0.217,0.1207,0.285,-7.3916,0.064,0.0591,0.004
par,Passive Aggressive Regressor,0.3972,0.3169,0.4899,-25.0259,0.1126,0.1062,0.003
